Type,ID,Name,Version List
0,3,Payment Terms,"NAVW19.00,MF9.00.03,OPP7.02.03"
0,4,Currency,"NAVW110.00,MF7.00,OPP10.00"
0,5,Finance Charge Terms,NAVW19.00
0,6,Customer Price Group,"NAVW19.00,MC0115"
0,7,Standard Text,NAVW110.00.00.15601
0,8,Language,NAVW19.00
0,9,Country/Region,"NAVW19.00,VG8.00,MF9.00.03,OPP9.00"
0,10,Shipment Method,NAVW17.00
0,13,Salesperson/Purchaser,"NAVW110.00.00.14199,MF9.00.03,MC0151"
0,14,Location,"NAVW110.00.00.17501,VG10.00,ESCM2.50"
0,15,G/L Account,"NAVW110.00.00.17972,NAVDACH10.00.00.17972,CO3.01,VG10.00.01,MF7.00,OPP10.00,MC0002,MI10.00"
0,17,G/L Entry,"NAVW110.00.00.17972,NAVDACH10.00.00.17972,CO5.00,OPP10.00,MC0002,MI10.00"
0,18,Customer,"NAVW110.00.00.17501,VG10.00.01,MF10.00.02,ESCM2.50,OPP10.00,INS,MIO,MC0117"
0,19,Cust. Invoice Disc.,NAVW17.00
0,21,Cust. Ledger Entry,"NAVW110.00,MF10.00.02,ESCM1.09.4,OPP10.00,INS,MIO,MC0117"
0,23,Vendor,"NAVW110.00.00.17501,NAVDACH10.00.00.17501,VG10.00.01,MF9.00.03,ESCM2.50,OPP10.00,INS,MIO,MC0199"
0,24,Vendor Invoice Disc.,NAVW17.00
0,25,Vendor Ledger Entry,"NAVW110.00,MF10.00.02,MC0110,OPP10.00,CH,INS,MIO,MC0139"
0,27,Item,"NAVW110.00.00.16996,VG10.00.02.1,MF10.00.02,ESCM2.50,MC0199"
0,30,Item Translation,NAVW17.00
0,32,Item Ledger Entry,"NAVW110.00.00.16585,VG7.00,MF7.00,MI10.00,ESCM2.00.1,MC0115"
0,36,Sales Header,"NAVW110.00.00.17972,NAVDACH10.00.00.17972,VG10.00.02.00.01,MI10.00.02.2,MF10.00.02.1,ESCM2.50,OPP10.00,INS,MC0158"
0,37,Sales Line,"NAVW110.00.00.17972,VG10.00.02.2,MFMI10.00.02.2,MF10.00.02.1,ESCM2.50,MC0196,AZI"
0,38,Purchase Header,"NAVW110.00.00.17972,NAVDACH10.00.00.17972,VG10.00.02.1,MI10.00.02,MF10.00.02.1,AL10.00,ESCM2.50,OPP10.00,CH,INS,MC0199"
0,39,Purchase Line,"NAVW110.00.00.17972,NAVDACH10.00.00.17972,VG10.00.02.1,MI10.00,MF10.00.02,MC0124,ESCM2.2,MC0199"
0,42,Rounding Method,NAVW17.00
0,43,Purch. Comment Line,NAVW17.00
0,44,Sales Comment Line,"NAVW17.00,MF10.00.02"
0,45,G/L Register,"NAVW17.00,MC0002"
0,46,Item Register,NAVW17.10
0,47,Aging Band Buffer,NAVW16.00
0,48,Invt. Posting Buffer,"NAVW17.00,NAVDACH7.00,NAVDE7.00"
0,49,Invoice Post. Buffer,"NAVW110.00,MC0002"
0,50,Accounting Period,NAVW19.00
0,51,User Time Register,NAVW17.00
0,60,Document Sending Profile,NAVW110.00.00.16585
0,61,Electronic Document Format,NAVW110.00.00.16177
0,62,Record Export Buffer,NAVW110.00
0,77,Report Selections,"NAVW110.00.00.17972,VG9.00,MI10.00.02,MF10.00.02,AL10.00,ESCM2.4,MC0117"
0,78,Printer Selection,"NAVW110.00,MF10.00.02"
0,79,Company Information,"NAVW110.00,NAVDACH10.00,NAVAT10.00,MF10.00.02,MC0036"
